# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8323
#@/user_id	e7e57a2c-2e9c-446e-a89d-2d5cdff91181
a 	啊	c=28 d=1.67528 t=8271
a jiao 	阿嬌	c=0 d=0.1 t=5978
a li 	阿里	c=0 d=0.1 t=6335
a li yun 	阿里雲	c=2 d=1.97531 t=6341
a yo 	啊唷	c=0 d=0.1 t=238
a yong 	阿勇	c=0 d=0.1 t=6631
ai 	唉	c=1 d=1 t=4582
ai 	愛	c=0 d=0.1 t=2026
an 	按	c=1 d=1 t=6424
an duo 	安多	c=1 d=1 t=5425
an li 	案例	c=1 d=1 t=1406
an quan 	安全	c=0 d=0.1 t=6433
an quan zu 	安全組	c=1 d=1 t=6434
an zhao 	按照	c=6 d=1 t=7897
an zhuang 	安裝	c=13 d=2.04662 t=6542
ba 	吧	c=4 d=1.96157 t=1309
ba 	把	c=71 d=1.85486 t=8284
ba 	爸	c=4 d=3.90723 t=1546
ba wo men 	把我們	c=2 d=1 t=8260
bai fen bai 	百分百	c=1 d=1 t=714
bai fen bi 	百分比	c=2 d=1.25924 t=2533
bai ming 	白名	c=0 d=0.1 t=8013
bai ming dan 	白名單	c=1 d=1 t=8014
bai tian 	白天	c=1 d=1 t=3854
ban 	辦	c=1 d=1 t=5151
ban ben 	版本	c=8 d=1.41767 t=6695
ban fa 	辦法	c=1 d=1 t=4207
bang 	幫	c=1 d=1 t=654
bang mang 	幫忙	c=7 d=1.17161 t=8117
bang ni 	幫你	c=2 d=1 t=5537
bang wo 	幫我	c=19 d=1.01917 t=6733
bang zhu 	幫助	c=1 d=1 t=242
bao 	包	c=2 d=1.01859 t=7052
bao 	報	c=1 d=1 t=7478
bao biao 	報表	c=7 d=2.09151 t=3100
bao chu 	報出	c=1 d=1 t=1351
bao cuo 	報錯	c=5 d=2.51892 t=7472
bao jing 	報警	c=1 d=1 t=4200
bao kuo 	包括	c=5 d=1.9966 t=5506
bao liu 	保留	c=3 d=1 t=7074
bao lu 	暴露	c=1 d=1 t=6431
bao qian 	抱歉	c=4 d=1.48397 t=4571
bao qian ha 	抱歉哈	c=1 d=1 t=3983
bei 	被	c=7 d=1.1089 t=8248
bei fen 	備份	c=1 d=1 t=8019
bei tong 	悲痛	c=1 d=1 t=2408
ben ci 	本次	c=4 d=1.07575 t=1251
ben di 	本地	c=2 d=1.25284 t=6287
ben lai 	本來	c=1 d=1 t=7219
beng 	崩	c=1 d=1 t=4441
bi 	比	c=1 d=0.1 t=5978
bi a jiao 	比阿嬌	c=1 d=1 t=5979
bi ji 	筆記	c=1 d=1 t=832
bi jiao 	比較	c=10 d=1.02654 t=5980
bi jiao o 	比較哦	c=1 d=1 t=2160
bi li 	比例	c=1 d=1 t=23
bi mian 	避免	c=2 d=1.75201 t=3766
bi ru 	比如	c=5 d=1.3336 t=7644
bi wo 	比我	c=1 d=1 t=4734
bi xu 	必須	c=2 d=1.12493 t=4966
bian 	變	c=7 d=1.10026 t=7615
bian cheng 	變成	c=3 d=1.0099 t=5616
bian dong 	變動	c=1 d=1 t=652
bian geng 	變更	c=2 d=1 t=7108
bian hao 	編號	c=1 d=1 t=5366
bian hua 	變化	c=3 d=1.00682 t=5118
bian kuang 	邊框	c=1 d=1 t=7385
bian li 	遍歷	c=2 d=1.00009 t=7534
bian liang 	變量	c=4 d=1.8524 t=8040
bian xie 	編寫	c=2 d=1.01492 t=2017
biao 	標	c=2 d=1.00015 t=6686
biao 	表	c=88 d=1.944 t=8232
biao 	飆	c=1 d=1 t=4127
biao ge 	表格	c=4 d=1.00516 t=2993
biao ji 	標記	c=3 d=1 t=6375
biao li mian 	表裏面	c=1 d=1 t=3522
biao ming 	表名	c=4 d=1.00102 t=7570
biao ming 	表明	c=1 d=1 t=2090
biao shi 	表實	c=1 d=1 t=1015
biao shi 	表示	c=5 d=1.24438 t=7391
biao zhu 	標注	c=1 d=1 t=5027
bing 	並	c=3 d=1.08496 t=6343
bing bu zai 	並不在	c=1 d=1 t=7849
bing fa 	併發	c=1 d=1 t=6661
bing fei 	並非	c=2 d=1.96561 t=673
bing mei you 	並沒有	c=4 d=1.01841 t=7864
bing qie 	並且	c=4 d=1.01734 t=6642
bing wei 	並未	c=1 d=1 t=340
bing xing du 	並行度	c=1 d=1 t=5744
bo li 	玻璃	c=0 d=0.1 t=6225
bo li xin 	玻璃心	c=1 d=1 t=6226
bu 	不	c=9 d=1.01541 t=6315
bu 	補	c=4 d=1 t=7823
bu ba 	不把	c=1 d=1 t=8201
bu bao kuo 	不包括	c=1 d=1 t=3277
bu bei 	不被	c=1 d=1 t=2822
bu bian 	不變	c=1 d=1 t=4520
bu bu 	不不	c=1 d=1 t=3594
bu chong 	補充	c=3 d=1.00321 t=6727
bu chu xian 	不出現	c=1 d=1 t=1992
bu cun zai 	不存在	c=5 d=1.29742 t=2697
bu cuo 	不錯	c=1 d=1 t=4184
bu da 	不大	c=1 d=1 t=5962
bu da 	不打	c=1 d=1 t=5961
bu dui 	不對	c=4 d=1.00387 t=7410
bu duo 	不多	c=1 d=1 t=1459
bu fen 	部分	c=9 d=2.50182 t=5107
bu gou 	不夠	c=4 d=1.08114 t=5017
bu guan 	不管	c=1 d=1 t=7029
bu guo 	不過	c=4 d=1.00061 t=7623
bu he ni 	不和你	c=1 d=1 t=376
bu hui 	不會	c=6 d=1.66915 t=7140
bu jin qu 	不進去	c=1 d=1 t=6621
bu jiu 	不久	c=0 d=0.1 t=834
bu kan 	不看	c=2 d=1.98511 t=1903
bu ke jian 	不可見	c=1 d=1 t=719
bu ke neng 	不可能	c=1 d=1 t=1332
bu neng 	不能	c=5 d=1.41066 t=6672
bu neng ne ge 	不能呢個	c=1 d=1 t=2467
bu pi pei 	不匹配	c=1 d=1 t=160
bu qi 	補齊	c=1 d=1 t=7882
bu qing chu 	不清楚	c=1 d=1 t=4865
bu qu 	不去	c=1 d=1 t=4429
bu quan shi 	不全是	c=1 d=1 t=8156
bu ren shi 	不認識	c=2 d=1.97045 t=2730
bu shang 	不赏	c=3 d=1.80654 t=7727
bu shi 	不是	c=17 d=2.85739 t=7845
bu shu 	部署	c=4 d=1.92152 t=6547
bu tai 	不太	c=6 d=1.00001 t=8277
bu tai xing 	不臺型	c=1 d=1 t=5521
bu tao lun 	不討論	c=1 d=1 t=4391
bu tong 	不同	c=5 d=1.00011 t=5269
bu wen ding 	不穩定	c=1 d=1 t=452
bu xing 	不行	c=5 d=1.42597 t=5522
bu xu yao 	不需要	c=2 d=1 t=5271
bu xu yao 	補虛藥	c=1 d=1 t=2023
bu yao 	不要	c=4 d=1.88803 t=6815
bu yi yang 	不一樣	c=1 d=1 t=585
bu yi zhi 	不一致	c=2 d=1.00174 t=2997
bu yong 	不用	c=6 d=1.53796 t=4830
bu yong gai 	不用改	c=1 d=1 t=2483
bu yuan yi 	不願意	c=1 d=1 t=4338
bu za de 	不咋地	c=1 d=1 t=8187
bu zai 	不再	c=1 d=1 t=2184
bu zai hu 	不在乎	c=1 d=1 t=3775
bu zai shi 	不再是	c=1 d=1 t=7163
bu zheng chang 	不正常	c=0 d=0.1 t=6485
bu zhi dao 	不知道	c=7 d=1.10289 t=7676
cai 	才	c=4 d=3.26147 t=6819
cai 	猜	c=3 d=1 t=7580
cai qu 	採取	c=1 d=1 t=335
cai shi 	纔是	c=1 d=1 t=4384
cai wu 	財務	c=1 d=1 t=6364
can jia 	參加	c=1 d=1 t=6929
can kao 	參考	c=4 d=1.00045 t=5770
can shu 	參數	c=1 d=1 t=7967
cang ku 	倉庫	c=3 d=1.68004 t=896
cao zuo 	操作	c=4 d=1 t=6589
ce shi 	測試	c=12 d=1.33813 t=8033
ce shi xia 	測試下	c=2 d=1.00002 t=4642
ceng 	層	c=6 d=1.98511 t=6586
ceng 	曾	c=1 d=1 t=567
ceng fan 	蹭飯	c=1 d=1 t=4100
ceng ji 	層級	c=1 d=1 t=5492
cha 	差	c=2 d=1 t=4502
cha 	查	c=1 d=1 t=4787
cha bu duo 	差不多	c=3 d=1.0066 t=6751
cha ju 	差距	c=2 d=1.92774 t=209
cha kan 	查看	c=5 d=1.20292 t=6741
cha ru 	插入	c=1 d=1 t=5688
cha xun 	查詢	c=6 d=1.17552 t=6082
cha zhao 	查找	c=2 d=1.98511 t=125
chai 	拆	c=1 d=1 t=7051
chai bao 	拆包	c=2 d=1.00001 t=7042
chai kai 	拆開	c=1 d=1 t=2495
chan pin 	產品	c=1 d=1 t=7055
chan sheng 	產生	c=1 d=1 t=5061
chang 	常	c=1 d=1 t=4189
chang jian 	常见	c=2 d=1.90484 t=5086
chang jing 	場景	c=1 d=1 t=3644
chang yong 	常用	c=2 d=1.01742 t=908
che 	扯	c=1 d=1 t=7819
che shang 	車上	c=1 d=1 t=4700
cheng 	成	c=10 d=1.29051 t=7387
cheng 	稱	c=2 d=1.66034 t=1563
cheng ben 	成本	c=2 d=1.94649 t=2807
cheng gong 	成功	c=2 d=1 t=4474
cheng xu 	程序	c=1 d=1 t=977
cheng yi 	乘以	c=1 d=1 t=5297
chi fan 	喫飯	c=1 d=1 t=851
chi xu 	持續	c=1 d=1 t=2122
chong 	衝	c=1 d=1 t=1818
chong ding xiang 	重定向	c=1 d=1 t=6643
chong fu 	重複	c=5 d=3.44113 t=6142
chong man 	充滿	c=1 d=1 t=4697
chong pao 	重跑	c=3 d=1 t=7899
chong qi 	重啓	c=4 d=1.00007 t=6627
chong qing 	重慶	c=1 d=1 t=819
chong qu 	衝去	c=1 d=1 t=6065
chong shi 	重試	c=1 d=1 t=6769
chong tu 	衝突	c=2 d=1.00001 t=2698
chong tui 	重推	c=1 d=1 t=1397
chong xie 	重寫	c=1 d=1 t=6251
chong xin 	重新	c=5 d=1.00032 t=5026
chong zhi 	衝制	c=1 d=1 t=1999
chou 	抽	c=3 d=2.69333 t=7799
chou chu 	抽出	c=1 d=1 t=4078
chou kong 	抽空	c=1 d=1 t=845
chu 	出	c=2 d=1.90032 t=457
chu bu 	初步	c=1 d=1 t=8060
chu ci 	除此	c=1 d=1 t=5108
chu fa 	出發	c=1 d=1 t=53
chu fa 	觸發	c=5 d=1.00016 t=5473
chu lai 	出來	c=4 d=1.04097 t=6432
chu li 	處理	c=5 d=1.00012 t=6240
chu xian 	出現	c=4 d=1.00138 t=3307
